Project,TotalBldg_GSF,Cat_Major,Cat_Minor,Total Net Area,Beds,Space,Total_SF,Common/Speciality,Path
KCT MultiSpecialty Hospital,170050.2361,D&T,Dialysis,1398,197,Clinical support,140,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Dialysis,1398,197,Administrative offices,0,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Dialysis,1398,197,Staff support,0,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Outpatient Clinics,485,197,Entry / Waiting,97,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Outpatient Clinics,485,197,Medical / Surgical Day Care,388,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Outpatient Clinics,485,197,Staff Support,0,C,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Outpatient Clinics,12661,197,Entry/Waiting,2766,C,80066.000_KCTMultispeciality_OPDandD&T.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Outpatient Clinics,12661,197,Reception/Registration,702,C,80066.000_KCTMultispeciality_OPDandD&T.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Outpatient Clinics,12661,197,Outpatient Vitals,420,C,80066.000_KCTMultispeciality_OPDandD&T.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Outpatient Clinics,12661,197,Exam/Consultation,7395,C,80066.000_KCTMultispeciality_OPDandD&T.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Outpatient Clinics,12661,197,Clinical Support,409,C,80066.000_KCTMultispeciality_OPDandD&T.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Outpatient Clinics,12661,197,Administrative Offices,646,C,80066.000_KCTMultispeciality_OPDandD&T.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Outpatient Clinics,12661,197,Staff Support,323,C,80066.000_KCTMultispeciality_OPDandD&T.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Imaging,3340,197,Entry / Waiting,259,S,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Imaging,3340,197,Reception/Registration,605,S,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Imaging,3340,197,Pre-Operative Holding / Recovery,689,S,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Imaging,3340,197,Interventional Procedure Area,1787,S,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Blood Center,1840,197,Entry/Waiting,161,S,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Blood Center,1840,197,Reception/Registration,86,S,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Blood Center,1840,197,Blood Collection,431,S,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Blood Center,1840,197,Blood Component Processing,624,S,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,D&T,Blood Center,1840,197,Support Area,538,S,80066.000_KCTMultispeciality_D&TandPCU.jpg
KCT MultiSpecialty Hospital,170050.2361,Public Areas,Public areas,4484,197,,4484,,
KCT MultiSpecialty Hospital,170050.2361,Public Areas,Admin,2454,197,,2454,,
KCT MultiSpecialty Hospital,170050.2361,Public Areas,Staff,592,197,,592,,
KCT MultiSpecialty Hospital,170050.2361,Support Services,Support,14751,197,Central Employee Services,947,,
KCT MultiSpecialty Hospital,170050.2361,Support Services,Support,14751,197,Medical Records,603,,
KCT MultiSpecialty Hospital,170050.2361,Support Services,Support,14751,197,IT,506,,
KCT MultiSpecialty Hospital,170050.2361,Support Services,Support,14751,197,Class IV Employee Facilities,113,,
KCT MultiSpecialty Hospital,170050.2361,Support Services,Support,14751,197,Biomedical Engineering,495,,
KCT MultiSpecialty Hospital,170050.2361,Support Services,Support,14751,197,Central Sterile Processing,3143,,
KCT MultiSpecialty Hospital,170050.2361,Support Services,Support,14751,197,Environmental Services,603,,
KCT MultiSpecialty Hospital,170050.2361,Support Services,Support,14751,197,Facilities Management,635,,
KCT MultiSpecialty Hospital,170050.2361,Support Services,Support,14751,197,Dining,2777,,
KCT MultiSpecialty Hospital,170050.2361,Support Services,Support,14751,197,Laundry Services,1410,,
KCT MultiSpecialty Hospital,170050.2361,Support Services,Support,14751,197,Materials Management,1496,,
KCT MultiSpecialty Hospital,170050.2361,Support Services,Support,14751,197,Morgue,280,,
KCT MultiSpecialty Hospital,170050.2361,Support Services,Support,14751,197,Pharmacy,1130,,
KCT MultiSpecialty Hospital,170050.2361,Support Services,Support,14751,197,Security,344,,
KCT MultiSpecialty Hospital,170050.2361,Support Services,Support,14751,197,Manifold Room,269,,
Sulaiman Al Rajhi,774087.8083,Public Areas,Public areas,39900.3,301,,39900.3,,
Sulaiman Al Rajhi,774087.8083,Public Areas,Admin,24642.1,301,,24642.1,,
Sulaiman Al Rajhi,774087.8083,Public Areas,Staff,7468.6,301,,7468.6,,
Sulaiman Al Rajhi,774087.8083,Support Services,Support,64874.084,301,Central Employee Services,6555.22,,
Sulaiman Al Rajhi,774087.8083,Support Services,Support,64874.084,301,Central Sterile Processing,6609.04,,
Sulaiman Al Rajhi,774087.8083,Support Services,Support,64874.084,301,Environmental Services,1539.24,,
Sulaiman Al Rajhi,774087.8083,Support Services,Support,64874.084,301,Facilities Management and Biomedical Engineering,2777.09,,
Sulaiman Al Rajhi,774087.8083,Support Services,Support,64874.084,301,Dining,19116.7,,
Sulaiman Al Rajhi,774087.8083,Support Services,Support,64874.084,301,Laundry Services,3143.06,,
Sulaiman Al Rajhi,774087.8083,Support Services,Support,64874.084,301,Materials Management,9515.3,,
Sulaiman Al Rajhi,774087.8083,Support Services,Support,64874.084,301,Morgue,1905.21,,
Sulaiman Al Rajhi,774087.8083,Support Services,Support,64874.084,301,Patient transport,1237.85,,
Sulaiman Al Rajhi,774087.8083,Support Services,Support,64874.084,301,Pharmacy,7480.92,,
Sulaiman Al Rajhi,774087.8083,Support Services,Support,64874.084,301,OPD Pharmacy,3229.17,,
Sulaiman Al Rajhi,774087.8083,Support Services,Support,64874.084,301,Security,1011.81,,
Sulaiman Al Rajhi,774087.8083,Support Services,Support,64874.084,301,Telecommunications,753.474,,
Sulaiman Al Rajhi,774087.8083,D&T,Interventional Radiology,12836.68,301,Entry / Waiting,494.96,C,40038.000_Sulaiman Al Rajhi_Radiology.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Interventional Radiology,12836.68,301,Reception/Registration,269,C,40038.000_Sulaiman Al Rajhi_Radiology.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Interventional Radiology,12836.68,301,Film Pick-Up,53.8,C,40038.000_Sulaiman Al Rajhi_Radiology.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Interventional Radiology,12836.68,301,Pre-Procedure Holding/Post-Procedure Recovery,1280.44,C,40038.000_Sulaiman Al Rajhi_Radiology.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Interventional Radiology,12836.68,301,Diagnostic Radiography/Fluoroscopy,1818.44,C,40038.000_Sulaiman Al Rajhi_Radiology.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Interventional Radiology,12836.68,301,Ultrasound,1345,C,40038.000_Sulaiman Al Rajhi_Radiology.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Interventional Radiology,12836.68,301,CT,1635.52,C,40038.000_Sulaiman Al Rajhi_Radiology.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Interventional Radiology,12836.68,301,MRI,2227.32,C,40038.000_Sulaiman Al Rajhi_Radiology.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Interventional Radiology,12836.68,301,Nuclear Medicine,0,C,40038.000_Sulaiman Al Rajhi_Radiology.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Interventional Radiology,12836.68,301,Mammography / Bone Densitometry / Holter Scan,451.92,C,40038.000_Sulaiman Al Rajhi_Radiology.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Interventional Radiology,12836.68,301,Clinical Support,1334.24,C,40038.000_Sulaiman Al Rajhi_Radiology.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Interventional Radiology,12836.68,301,Administrative Area,763.96,C,40038.000_Sulaiman Al Rajhi_Radiology.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Interventional Radiology,12836.68,301,Staff Support,1162.08,C,40038.000_Sulaiman Al Rajhi_Radiology.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Surgery,22194.652,301,Entry / Waiting,671.424,C,
Sulaiman Al Rajhi,774087.8083,D&T,Surgery,22194.652,301,Reception/Registration,309.888,C,
Sulaiman Al Rajhi,774087.8083,D&T,Surgery,22194.652,301,Pre-Admission Testing,193.68,C,
Sulaiman Al Rajhi,774087.8083,D&T,Surgery,22194.652,301,Pre-Operative Holding/Stage II Recovery,2909.504,C,
Sulaiman Al Rajhi,774087.8083,D&T,Surgery,22194.652,301,PACU - Stage I Recovery,2268.208,C,
Sulaiman Al Rajhi,774087.8083,D&T,Surgery,22194.652,301,Interventional Procedure Area - Cath Lab Suite,1360.064,C,
Sulaiman Al Rajhi,774087.8083,D&T,Surgery,22194.652,301,Operating Room Suite,12160.952,C,
Sulaiman Al Rajhi,774087.8083,D&T,Surgery,22194.652,301,Anaesthesia Office Suite,412.108,C,
Sulaiman Al Rajhi,774087.8083,D&T,Surgery,22194.652,301,Administrative Offices,482.048,C,
Sulaiman Al Rajhi,774087.8083,D&T,Surgery,22194.652,301,Staff Support,1426.776,C,
Sulaiman Al Rajhi,774087.8083,D&T,Endoscopy,5025.996,301,Entry/ waiting,318.496,C,40038.000_Sulaiman Al Rajhi_Endoscopy.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Endoscopy,5025.996,301,Reception/ registration,142.032,C,40038.000_Sulaiman Al Rajhi_Endoscopy.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Endoscopy,5025.996,301,Prep/ Holding/ Recovery,1983.068,C,40038.000_Sulaiman Al Rajhi_Endoscopy.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Endoscopy,5025.996,301,Procedure rooms,1653.812,C,40038.000_Sulaiman Al Rajhi_Endoscopy.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Endoscopy,5025.996,301,Administrative offices,358.308,C,40038.000_Sulaiman Al Rajhi_Endoscopy.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Endoscopy,5025.996,301,Staff support,570.28,C,40038.000_Sulaiman Al Rajhi_Endoscopy.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Emergency Department,12564.452,301,Walk in/ Waiting,1360.064,C,40038.000_Sulaiman Al Rajhi_Emergency.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Emergency Department,12564.452,301,Ambulance entry/ EMS,2764.244,C,40038.000_Sulaiman Al Rajhi_Emergency.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Emergency Department,12564.452,301,Reception/ registration/ triage,833.9,C,40038.000_Sulaiman Al Rajhi_Emergency.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Emergency Department,12564.452,301,Emergent/ Urgent,4320.14,C,40038.000_Sulaiman Al Rajhi_Emergency.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Emergency Department,12564.452,301,Imaging equipment,21.52,C,40038.000_Sulaiman Al Rajhi_Emergency.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Emergency Department,12564.452,301,Onservation unit,1510.704,C,40038.000_Sulaiman Al Rajhi_Emergency.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Emergency Department,12564.452,301,Administrative/ staff support,1753.88,C,40038.000_Sulaiman Al Rajhi_Emergency.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Labs,11098.402,301,Entry/Waiting,880.168,C,40038.000_Sulaiman Al Rajhi_LabsAdmin.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Labs,11098.402,301,Reception/Registration,468.06,C,40038.000_Sulaiman Al Rajhi_LabsAdmin.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Labs,11098.402,301,Outpatient Laboratory,819.912,C,40038.000_Sulaiman Al Rajhi_LabsAdmin.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Labs,11098.402,301,Specimen Receiving/Accessioning,177.54,C,40038.000_Sulaiman Al Rajhi_LabsAdmin.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Labs,11098.402,301,Reference Lab / Send-Outs / P.O.C.,281.912,C,40038.000_Sulaiman Al Rajhi_LabsAdmin.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Labs,11098.402,301,Phlebotomy,369.068,C,40038.000_Sulaiman Al Rajhi_LabsAdmin.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Labs,11098.402,301,Blood Bank,1291.2,C,40038.000_Sulaiman Al Rajhi_LabsAdmin.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Labs,11098.402,301,Tissue Banking,167.856,C,40038.000_Sulaiman Al Rajhi_LabsAdmin.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Labs,11098.402,301,Core Clinical Labs,2334.92,C,40038.000_Sulaiman Al Rajhi_LabsAdmin.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Labs,11098.402,301,Microbiology,1128.724,C,40038.000_Sulaiman Al Rajhi_LabsAdmin.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Labs,11098.402,301,Anatomic Pathology,1012.516,C,40038.000_Sulaiman Al Rajhi_LabsAdmin.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Labs,11098.402,301,Support Area,148.488,C,40038.000_Sulaiman Al Rajhi_LabsAdmin.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Labs,11098.402,301,Administrative Offices,932.892,C,40038.000_Sulaiman Al Rajhi_LabsAdmin.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Labs,11098.402,301,Staff Support,847.888,C,40038.000_Sulaiman Al Rajhi_LabsAdmin.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Labs,11098.402,301,Molecular Diagnostics and Testing (PCR),237.258,C,40038.000_Sulaiman Al Rajhi_LabsAdmin.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Dialysis,4218.996,301,Entry/ waiting,678.956,C,40038.000_Sulaiman Al Rajhi_ChemoDialysisRehabPhysio.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Dialysis,4218.996,301,Reception/ registration,241.024,C,40038.000_Sulaiman Al Rajhi_ChemoDialysisRehabPhysio.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Dialysis,4218.996,301,Clinic/ Treatment rooms,1342.848,C,40038.000_Sulaiman Al Rajhi_ChemoDialysisRehabPhysio.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Dialysis,4218.996,301,Shared clinical support,952.26,C,40038.000_Sulaiman Al Rajhi_ChemoDialysisRehabPhysio.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Dialysis,4218.996,301,Administrative offices,463.756,C,40038.000_Sulaiman Al Rajhi_ChemoDialysisRehabPhysio.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Dialysis,4218.996,301,Staff support,540.152,C,40038.000_Sulaiman Al Rajhi_ChemoDialysisRehabPhysio.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Outpatient Clinics,3785.368,301,Reception / Waiting Area,510.024,C,40038.000_Sulaiman Al Rajhi_Daycare.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Outpatient Clinics,3785.368,301,Clinical Area,2552.272,C,40038.000_Sulaiman Al Rajhi_Daycare.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Outpatient Clinics,3785.368,301,Administrative and Staff Support,723.072,C,40038.000_Sulaiman Al Rajhi_Daycare.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Outpatient Clinics,17457.024,301,Entry/Waiting,3388.324,C,40038.000_Sulaiman Al Rajhi_OPD.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Outpatient Clinics,17457.024,301,Reception/Registration,1207.272,C,40038.000_Sulaiman Al Rajhi_OPD.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Outpatient Clinics,17457.024,301,Clinic/Treatment Rooms,6821.84,C,40038.000_Sulaiman Al Rajhi_OPD.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Outpatient Clinics,17457.024,301,Dermatology,753.2,C,40038.000_Sulaiman Al Rajhi_OPD.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Outpatient Clinics,17457.024,301,Speech Therapy,129.12,C,40038.000_Sulaiman Al Rajhi_OPD.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Outpatient Clinics,17457.024,301,Audiology Clinic,807,C,40038.000_Sulaiman Al Rajhi_OPD.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Outpatient Clinics,17457.024,301,Shared Clinical Support,2956.848,C,40038.000_Sulaiman Al Rajhi_OPD.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Outpatient Clinics,17457.024,301,Administrative Offices,304.508,C,40038.000_Sulaiman Al Rajhi_OPD.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Outpatient Clinics,17457.024,301,Staff Support,1088.912,C,40038.000_Sulaiman Al Rajhi_OPD.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Rehab Centre and Physiotherapy,6970.328,301,Entry/ waiting,632.688,S,40038.000_Sulaiman Al Rajhi_ChemoDialysisRehabPhysio.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Rehab Centre and Physiotherapy,6970.328,301,Reception/ registration,343.244,S,40038.000_Sulaiman Al Rajhi_ChemoDialysisRehabPhysio.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Rehab Centre and Physiotherapy,6970.328,301,Patient dressing,626.232,S,40038.000_Sulaiman Al Rajhi_ChemoDialysisRehabPhysio.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Rehab Centre and Physiotherapy,6970.328,301,occupational therapy,823.14,S,40038.000_Sulaiman Al Rajhi_ChemoDialysisRehabPhysio.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Rehab Centre and Physiotherapy,6970.328,301,Hydrotherapy,266.848,S,40038.000_Sulaiman Al Rajhi_ChemoDialysisRehabPhysio.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Rehab Centre and Physiotherapy,6970.328,301,Physical therapy,2787.916,S,40038.000_Sulaiman Al Rajhi_ChemoDialysisRehabPhysio.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Rehab Centre and Physiotherapy,6970.328,301,Shared clinical support,548.76,S,40038.000_Sulaiman Al Rajhi_ChemoDialysisRehabPhysio.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Rehab Centre and Physiotherapy,6970.328,301,Administrative offices,263.62,S,40038.000_Sulaiman Al Rajhi_ChemoDialysisRehabPhysio.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Rehab Centre and Physiotherapy,6970.328,301,Staff support,677.88,S,40038.000_Sulaiman Al Rajhi_ChemoDialysisRehabPhysio.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Telemedicine,753.48,301,Clinic rooms,753.48,S,
Sulaiman Al Rajhi,774087.8083,D&T,Cardiology,5568.2172,301,Entry/ waiting,851.4324,S,
Sulaiman Al Rajhi,774087.8083,D&T,Cardiology,5568.2172,301,reception/ registration,516.672,S,
Sulaiman Al Rajhi,774087.8083,D&T,Cardiology,5568.2172,301,patient dressing,818.064,S,
Sulaiman Al Rajhi,774087.8083,D&T,Cardiology,5568.2172,301,testing/ procedure area,1950.4368,S,
Sulaiman Al Rajhi,774087.8083,D&T,Cardiology,5568.2172,301,Shared clinical support,438.0948,S,
Sulaiman Al Rajhi,774087.8083,D&T,Cardiology,5568.2172,301,Admin area,304.6212,S,
Sulaiman Al Rajhi,774087.8083,D&T,Cardiology,5568.2172,301,Staff support,688.896,S,
Sulaiman Al Rajhi,774087.8083,D&T,Infusion Therapy,5586.516,301,Entry/ waiting,1457.4456,S,40038.000_Sulaiman Al Rajhi_ChemoDialysisRehabPhysio.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Infusion Therapy,5586.516,301,Reception/ registration,537.1236,S,40038.000_Sulaiman Al Rajhi_ChemoDialysisRehabPhysio.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Infusion Therapy,5586.516,301,Outpatient lab,354.1356,S,40038.000_Sulaiman Al Rajhi_ChemoDialysisRehabPhysio.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Infusion Therapy,5586.516,301,Infusion area,1530.6408,S,40038.000_Sulaiman Al Rajhi_ChemoDialysisRehabPhysio.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Infusion Therapy,5586.516,301,Pharmacy,375.6636,S,40038.000_Sulaiman Al Rajhi_ChemoDialysisRehabPhysio.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Infusion Therapy,5586.516,301,Shared clinical support,424.1016,S,40038.000_Sulaiman Al Rajhi_ChemoDialysisRehabPhysio.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Infusion Therapy,5586.516,301,Administrative offices,304.6212,S,40038.000_Sulaiman Al Rajhi_ChemoDialysisRehabPhysio.jpg
Sulaiman Al Rajhi,774087.8083,D&T,Infusion Therapy,5586.516,301,Staff support,602.784,S,40038.000_Sulaiman Al Rajhi_ChemoDialysisRehabPhysio.jpg
MDA Pavillion,67759,D&T,Interventional Radiology,16367,,Diagnostic Areas- Gen. Radiology,1435,C,
MDA Pavillion,67759,D&T,Interventional Radiology,16367,,Daignostic Areas- Neuro Interventional Radiology,2270,C,
MDA Pavillion,67759,D&T,Interventional Radiology,16367,,clinical support areas- GR and NIR,1773,C,
MDA Pavillion,67759,D&T,Interventional Radiology,16367,,administrative areas-GR and NIR,240,C,
MDA Pavillion,67759,D&T,Interventional Radiology,16367,,treatment areas - Interventional Radiology,3841,C,
MDA Pavillion,67759,D&T,Interventional Radiology,16367,,Clinical support areas- IR,3091,C,
